tenderID,title,cpvs,complaints,complaints.status,questions,answer,documents,methodType,value,procuringEntity,status,region
UA-2017-02-22-000805-c,"Комплектуючі до комп""ютерної техніки",302,0,0,0,0,3,belowThreshold,9000,5416136,complete,26
UA-2017-02-17-001201-c,"теплова енергія – 5 лотів: Лот №1 – вул. Якубовського,6 (теплова енергія); Лот №2 – вул. Набережно-Корчуватська, 56/66 (теплова енергія); Лот №3 – вул. Новопирогівська, 25 (теплова енергія); Лот №4 – вул. Ломоносова, 52а (теплова енергія); Лот №5 - вул. Ломоносова, 52а (гаряча вода)",93,0,0,0,0,8,negotiation.quick,4189029.59,38945065,complete,31
UA-2017-02-18-000079-c,реактиви та контрастні речовини,336,0,0,0,0,7,aboveThresholdUA,89000,26349674,unsuccessful,930
UA-2017-02-03-002072-b,"Pipecuronium bromide (Піпекуронію бромід), Suxamethonium (Суксаметоній), Thiopental (Тіопентал натрію)",336,0,0,0,0,2,belowThreshold,57962,1989839,complete,844
UA-2017-02-09-000085-c,Огірки консервовані,153,0,0,1,1,2,belowThreshold,11000,3188487,complete,124
UA-2017-02-17-000568-b,Фрукти,32,0,0,0,0,5,belowThreshold,125100,4591541,complete,204
UA-2017-02-10-000198-b,Операційні системи,486,0,0,1,1,4,belowThreshold,179000,40909288,complete,490
UA-2017-02-01-000838-a,"Риба, рибне філе та інше м’ясо риби морожене   15220000-6",152,0,0,0,0,2,belowThreshold,158825,22672094,complete,637
UA-2017-02-13-000396-a,"0932000-8 Пара, гаряча вода та пов'язана продукція",93,0,0,0,0,2,negotiation,919241,2139239,complete,175
UA-2017-02-17-001981-c,реактиви,240,0,0,1,1,2,belowThreshold,10000,5484557,complete,211
UA-2017-02-08-000706-c,"Капітальний ремонт / облаштування ігрового майданчика за адресою: просп. Оболонський,27-В",452,0,0,0,0,6,belowThreshold,60000,39611267,cancelled,42
UA-2017-02-22-002123-c,"Кури заморожені, печінка куряча заморожена",151,0,0,0,0,4,negotiation,473880,2146133,cancelled,633
UA-2017-02-12-000051-c,"Чай, кавовий напій розчинний",158,0,0,0,0,3,belowThreshold,20250,2141621,unsuccessful,446
UA-2017-02-02-000988-b,"09130000-9 Нафта і дистиляти (Паливо), 14 лотів",91,0,0,0,0,7,negotiation,3609510,24837292,complete,140
